Date,Ticker,grossPnL,feesTrade,netPnL,numTrade,Tag,Strategy
2025-06-26,AAPL,0.08784048897888397,1.683918080357143,-1.596077591378259,42,OOS,MA_Cross
2025-06-26,AMD,-0.6093079703194917,0.9474115517207556,-1.5567195220402472,33,OOS,MA_Cross
2025-06-26,AMGN,2.6591687883649797,2.2426831741333006,0.41648561423167946,40,OOS,MA_Cross
2025-06-26,AMZN,1.7709851946148945,1.559010605730329,0.21197458888456502,36,OOS,MA_Cross
2025-06-26,DJI,117.08300781249272,398.61805871930795,-281.5350509068154,46,OOS,MA_Cross
2025-06-26,FTSE,-24.563023158480064,99.70309654366633,-124.26611970214638,57,OOS,MA_Cross
2025-06-26,GME,-0.3604617118835485,0.18525013958386014,-0.5457118514674086,39,OOS,MA_Cross
2025-06-26,GOOG,0.16349084036681916,1.3556069352831162,-1.1921160949162968,39,OOS,MA_Cross
2025-06-26,GSPC,12.211111886159415,49.091240611049095,-36.88012872488969,40,OOS,MA_Cross
2025-06-26,MSFT,1.2894930158342959,3.5698208154950826,-2.280327799660788,36,OOS,MA_Cross
2025-06-26,NVDA,1.0340685163225487,0.9960723289489746,0.03799618737357406,32,OOS,MA_Cross
2025-06-26,OPTT,-0.018151415245873603,0.002884220600553921,-0.02103563584642753,28,OOS,MA_Cross
2025-06-26,QQQ,0.4054892403739814,3.7072319673810683,-3.301742727007087,34,OOS,MA_Cross
2025-06-26,RUT,1.6535121372771755,29.366580003138946,-27.71306786586177,68,OOS,MA_Cross
2025-06-26,TSLA,-4.62678091866627,2.2921576154436387,-6.918938534109907,35,OOS,MA_Cross
2025-06-26,UNH,1.5655375889369338,1.8804762136186872,-0.31493862468175365,31,OOS,MA_Cross
2025-01-27,^DJI,87.24860491070285,365.1813226562501,-277.93271774554717,41,OOS,MA_Cross
2025-01-27,^FTSE,-7.557198660713766,88.28822809012277,-95.84542675083657,52,OOS,MA_Cross
2025-01-27,^GSPC,-12.600882393971915,58.725468552943646,-71.32635094691554,49,OOS,MA_Cross
2025-01-27,^RUT,15.468662806918474,30.140957059151784,-14.672294252233312,66,OOS,MA_Cross
2025-01-27,AAPL,4.54441996983121,1.8887450863974433,2.655674883433767,41,OOS,MA_Cross
2025-01-27,AMD,2.622726440429645,0.8718591836656843,1.7508672567639607,38,OOS,MA_Cross
2025-01-27,AMGN,2.0957151140485735,1.913632364218576,0.18208274982999778,34,OOS,MA_Cross
2025-01-27,AMZN,-3.084891727992442,1.8626582650865828,-4.947549993079026,40,OOS,MA_Cross
2025-01-27,GBPUSD=X,0.0014294683933258057,0.011251238464883398,-0.009821770071557592,45,OOS,MA_Cross
2025-01-27,GME,-0.44828687395366984,0.2114015515054975,-0.6596884254591673,39,OOS,MA_Cross
2025-01-27,GOOG,0.2433128356933878,1.4048230493273055,-1.1615102136339177,36,OOS,MA_Cross
2025-01-27,JPYUSD=X,-5.263635622625856e-07,4.669310885614582e-05,-4.721947241840842e-05,36,OOS,MA_Cross
2025-01-27,MSFT,5.448557172502774,2.410744483838762,3.0378126886640118,28,OOS,MA_Cross
2025-01-27,NG=F,0.12235723223004946,0.030722557125772754,0.09163467510427671,42,OOS,MA_Cross
2025-01-27,NVDA,3.3939026423863083,0.9290846907751901,2.4648179516111184,39,OOS,MA_Cross
2025-01-27,OPTT,-0.0392620904105051,0.0065742761548076385,-0.04583636656531274,41,OOS,MA_Cross
2025-01-27,QQQ,-1.8400551932199392,4.307030129350936,-6.1470853225708755,42,OOS,MA_Cross
2025-01-27,TSLA,1.3718708583286912,2.6905145681108746,-1.318643709782183,34,OOS,MA_Cross
2025-01-27,UNH,-1.2937207903178205,5.006870836748396,-6.300591627066216,46,OOS,MA_Cross
2025-02-27,AAPL,1.03987557547444,2.0677712066650398,-1.0278956311905985,43,OOS,MA_Cross
2025-02-27,AMD,0.9266995021274909,0.712284087208339,0.21441541491915198,35,OOS,MA_Cross
2025-02-27,AMGN,0.40940420968200897,2.9520678739275255,-2.5426636642455174,48,OOS,MA_Cross
2025-02-27,AMZN,0.32193156651089794,1.402625941194807,-1.0806943746839097,33,OOS,MA_Cross
2025-02-27,DJI,-58.688197544644936,392.3633098074778,-451.05150735212277,45,OOS,MA_Cross
2025-02-27,FTSE,-11.597900390625,89.24732056012839,-100.84522095075339,51,OOS,MA_Cross
2025-02-27,GME,0.28642899649483766,0.1795591908863613,0.1068698056084764,36,OOS,MA_Cross
2025-02-27,GOOG,-0.043809073311962266,1.2404732280186244,-1.2842823013305875,36,OOS,MA_Cross
2025-02-27,GSPC,44.6953473772337,52.189422903878345,-7.494075526644654,44,OOS,MA_Cross
2025-02-27,MSFT,0.20064326695035106,2.616573547472273,-2.4159302805219225,33,OOS,MA_Cross
2025-02-27,NVDA,3.246819904872339,0.952585296549116,2.2942346083232237,38,OOS,MA_Cross
2025-02-27,OPTT,-0.0011360198259354748,0.004665795381792954,-0.0058018152077284274,38,OOS,MA_Cross
2025-02-27,QQQ,1.9686017717634172,3.4580959333147314,-1.4894941615513124,34,OOS,MA_Cross
2025-02-27,RUT,7.675763811384968,25.06949660470145,-17.39373279331648,58,OOS,MA_Cross
2025-02-27,TSLA,-4.225052969796366,2.1195606309073316,-6.344613600703696,37,OOS,MA_Cross
2025-02-27,UNH,2.6149651663644136,3.391279088374547,-0.7763139220101332,36,OOS,MA_Cross
2025-03-27,AAPL,3.1209308079311313,1.52141946787153,1.599511340059601,34,OOS,MA_Cross
2025-03-27,AMD,-2.482760020664756,0.7655088275636946,-3.2482688482284505,36,OOS,MA_Cross
