Strategy,Net Return Ann.,Sharpe,MaxDD,Avg Daily Trades
MA_Cross,-156347.58863333386,-40.17996887240786,0.0,667.9583333333334
MACD_Hist,-182096.26700224294,-42.202234180222035,0.0,968.8333333333334
Bollinger_MR,-110156.23924678477,-25.05548895932479,0.0,499.5833333333333
HMA_Trend,-194177.20616422425,-36.43070753037741,0.0,1017.1666666666666
Donchian_BO,-120612.29273303713,-34.247891502167825,0.0,529.0416666666666
RMA_ZScore,-90988.658967017,-31.30292719118108,0.0,414.125
Vol_Target,-700.8203956738216,-54.17011515340388,0.0,4028.7083333333335
ORB,-154157.96186877898,-37.57747593022828,0.0,696.2083333333334
