Date,Ticker,grossPnL,feesTrade,netPnL,numTrade,Tag
2025-06-26,AAPL,0.6990094866071388,2.164621035221645,-1.4656115486145056,54,OOS
2025-06-26,AMD,-1.1179684230259568,1.635785361971174,-2.7537537849971314,57,OOS
2025-06-26,AMGN,-4.9782703944615605,3.873936605290004,-8.85220699975157,69,OOS
2025-06-26,AMZN,2.106831686837296,1.8167399305616112,0.29009175627568495,42,OOS
2025-06-26,DJI,-154.1880580357174,615.1829798270088,-769.3710378627264,71,OOS
2025-06-26,FTSE,14.98228236606883,120.6873624232701,-105.70508005720127,69,OOS
2025-06-26,GME,0.09090879985264522,0.28501695352963036,-0.19410815367698528,60,OOS
2025-06-26,GOOG,-1.0359153747559446,2.1527273090362544,-3.188642683792199,62,OOS
2025-06-26,GSPC,-6.681989397320649,78.5079290806362,-85.18991847795685,64,OOS
2025-06-26,MSFT,-0.7373014177593973,5.652030937303816,-6.389332355063213,57,OOS
2025-06-26,NVDA,1.1407274518693669,1.7123053741455074,-0.5715779222761408,55,OOS
2025-06-26,OPTT,-0.0027433591229573118,0.004834905482615743,-0.0075782646055730565,47,OOS
2025-06-26,QQQ,0.17701285226007712,5.7776863004411965,-5.600673448181119,53,OOS
2025-06-26,RUT,12.28972516741078,28.501088978794645,-16.211363811383862,66,OOS
2025-06-26,TSLA,0.35618591308588066,3.273868073817661,-2.9176821607317827,50,OOS
2025-06-26,UNH,-0.11471448625832181,3.279120824432373,-3.3938353106906956,54,OOS
2025-01-27,^DJI,215.89550781248545,489.571653669085,-273.6761458565995,55,OOS
2025-01-27,^FTSE,-3.966448102675713,123.93421716657369,-127.90066526924942,73,OOS
2025-01-27,^GSPC,12.128400530134968,69.50867306256973,-57.38027253243477,58,OOS
2025-01-27,^RUT,18.856654575891753,31.997705018833706,-13.141050442941955,70,OOS
2025-01-27,AAPL,-3.743067605154863,2.758348422295706,-6.501416027450569,60,OOS
2025-01-27,AMD,0.6464059012276664,1.4024832916259768,-0.7560773903983109,61,OOS
2025-01-27,AMGN,-1.345141819545006,3.263203297315324,-4.60834511686033,58,OOS
2025-01-27,AMZN,2.0444537571498245,2.6985883336203433,-0.6541345764705226,58,OOS
2025-01-27,GBPUSD=X,-0.0007206201553346947,0.01675362544911249,-0.017474245604447172,67,OOS
2025-01-27,GME,-0.6409356934683572,0.3421594757148198,-0.9830951691831764,63,OOS
2025-01-27,GOOG,-1.4761984688894927,2.462322766876221,-3.938521235765714,63,OOS
2025-01-27,JPYUSD=X,-1.3069998073793852e-05,7.916171656688674e-05,-9.223171464068061e-05,61,OOS
2025-01-27,MSFT,3.228492736816463,4.047076114436559,-0.8185833776200958,47,OOS
2025-01-27,NG=F,-0.05849819523947719,0.048279049985749375,-0.10677724522522658,66,OOS
2025-01-27,NVDA,-2.077454703194732,1.47764207207816,-3.5550967752728906,62,OOS
2025-01-27,OPTT,0.01756487573896126,0.009386760242070469,0.008178115496890792,58,OOS
2025-01-27,QQQ,-5.542573111397871,6.358654822322301,-11.901227933720174,62,OOS
2025-01-27,TSLA,-6.634972708565954,4.917227335684641,-11.552200044250593,62,OOS
2025-01-27,UNH,-8.316449846540081,7.293797012329101,-15.610246858869184,67,OOS
2025-02-27,AAPL,4.078224727085711,2.4055019738878523,1.6727227531978583,50,OOS
2025-02-27,AMD,0.3167236873081407,1.1627945586340764,-0.846070871325937,57,OOS
2025-02-27,AMGN,0.9415893554688068,4.183254411315919,-3.241665055847111,68,OOS
2025-02-27,AMZN,-1.7571912493024513,2.89004627118792,-4.6472375204903695,68,OOS
2025-02-27,DJI,-90.53906249998545,601.7099710937503,-692.2490335937357,69,OOS
2025-02-27,FTSE,-17.29764229911416,124.25724323381701,-141.55488553293114,71,OOS
2025-02-27,GME,-0.4594449315752378,0.32484999019759037,-0.7842949217728288,65,OOS
2025-02-27,GOOG,0.9181992667061536,1.894126867730277,-0.9759276010241236,55,OOS
2025-02-27,GSPC,22.158848353796202,74.72213972342355,-52.56329136962738,63,OOS
2025-02-27,MSFT,0.8180738176619684,4.60253834337507,-3.7844645257131013,58,OOS
2025-02-27,NVDA,3.886120659964405,1.333471681349618,2.552648978614787,53,OOS
2025-02-27,OPTT,-0.04366090893745411,0.007378101165379795,-0.05103901010283392,60,OOS
2025-02-27,QQQ,-0.038204738072124655,6.099803927285333,-6.1380086653574555,60,OOS
2025-02-27,RUT,-2.5476510184153085,31.578811018589573,-34.12646203700487,73,OOS
2025-02-27,TSLA,1.4641669137137683,2.291488872528076,-0.8273219588143085,40,OOS
2025-02-27,UNH,-3.6220703125,6.218782409885953,-9.840852722385952,66,OOS
2025-03-27,AAPL,-2.654364994594033,3.173201806368148,-5.827566800962177,71,OOS
2025-03-27,AMD,1.3795800890241452,1.0001574892589025,0.3794225997652433,47,OOS
2025-03-27,AMGN,-6.604278564453125,4.343679137529646,-10.94795770198277,71,OOS
2025-03-27,AMZN,1.3174803597585765,1.9425184483664377,-0.625038088607862,48,OOS
2025-03-27,DJI,81.45326450894208,559.099332686942,-477.64606817799995,66,OOS
2025-03-27,FTSE,5.678431919639479,117.46265388532368,-111.7842219656842,68,OOS
2025-03-27,GME,0.6177551405770494,0.2652988101754869,0.35245633040156243,58,OOS
2025-03-27,GOOG,-1.464279719761322,2.081671176310948,-3.545950896072271,63,OOS
