Date,Ticker,grossPnL,feesTrade,netPnL,numTrade,Tag
2025-04-01,AAPL,-0.05999755859375,0.044633999633789063,-0.10463155822753906,1,IS
2025-04-01,AMD,-0.23848342895509234,0.7534370941707066,-0.9919205231257989,37,IS
2025-04-01,AMGN,2.0800606863837743,2.464418424551828,-0.38435773816805324,40,IS
2025-04-01,AMZN,0.0,0.0,0.0,0,IS
2025-04-01,DJI,125.00613839287689,368.8910552734375,-243.88491688056052,44,IS
2025-04-01,FTSE,-9.622523716510841,105.31329228166852,-114.93581599817938,61,IS
2025-04-01,GME,-0.360856328691753,0.1777239551680429,-0.5385802838597958,39,IS
2025-04-01,GOOG,-0.9311430794852527,1.0804262005942211,-2.0115692800794736,34,IS
2025-04-01,GSPC,-0.5242222377210055,49.42882663051061,-49.95304886823162,44,IS
2025-04-01,MSFT,-4.067794799804744,2.969272230965751,-7.037067030770495,39,IS
2025-04-01,NVDA,0.12361417497908178,0.5218961718423027,-0.39828199686322074,24,IS
2025-04-01,OPTT,0.008839499737535395,0.0028209726247404305,0.006018527112794963,33,IS
2025-04-01,QQQ,1.9885035923549026,3.4839155240740096,-1.495411931719108,37,IS
2025-04-01,RUT,22.926090785434326,24.927407325526637,-2.0013165400923225,62,IS
2025-04-01,TSLA,0.0,0.0,0.0,0,IS
2025-04-01,UNH,-0.8809967041017899,3.4585585128784184,-4.3395552169802105,33,IS
2025-05-01,AAPL,-7.172406877790223,1.191085511997768,-8.363492389787993,28,IS
2025-05-01,AMD,-1.2267178126744085,0.6095286542619978,-1.8362464669364076,31,IS
2025-05-01,AMGN,1.7254856654575406,1.9934870411464143,-0.2680013756888739,35,IS
2025-05-01,AMZN,0.11827577863417105,0.4958404606955392,-0.3775646820613683,13,IS
2025-05-01,DJI,-168.18331473216676,458.38774135044645,-626.5710560826128,56,IS
2025-05-01,FTSE,8.864501953128638,93.36887316894531,-84.50437121581669,55,IS
2025-05-01,GME,-0.35066693169730456,0.09955023375238692,-0.4502171654496916,18,IS
2025-05-01,GOOG,-1.6357688903808025,1.370060670198713,-3.005829560579515,42,IS
2025-05-01,GSPC,10.393362862722825,48.402998693847664,-38.009635831124825,43,IS
2025-05-01,MSFT,0.43003082275379256,2.920379994964599,-2.490349172210808,34,IS
2025-05-01,NVDA,0.0,0.0,0.0,0,IS
2025-05-01,OPTT,0.00833404809236521,0.002743510932049581,0.005590537160315629,33,IS
2025-05-01,QQQ,-5.489339556012794,4.261871242523194,-9.751210798535988,44,IS
2025-05-01,RUT,24.05116925920811,26.137511967686237,-2.0863427084781385,66,IS
2025-05-01,TSLA,0.0,0.0,0.0,0,IS
2025-05-01,UNH,-0.9735619681219987,2.0095337636675157,-2.9830957317895135,25,IS
2025-07-01,AAPL,-1.876908438546252,1.3309906373160227,-3.2078990758622754,32,IS
2025-07-01,AMD,-0.0004735674177140936,0.7671373382023402,-0.7676109056200543,28,IS
2025-07-01,AMGN,3.8189697265623295,2.7295954055786136,1.0893743209837174,47,IS
2025-07-01,AMZN,1.2934041704450863,1.4984453209468298,-0.20504115050174312,34,IS
2025-07-01,DJI,-69.16796874999272,400.5232292689732,-469.69119801896596,45,IS
2025-07-01,FTSE,1.021798270086947,101.44100372140068,-100.41920545131372,58,IS
2025-07-01,GME,-0.02137170519147702,0.21667077533176968,-0.2380424805232466,45,IS
2025-07-01,GOOG,0.6040066310338261,0.8470903673989432,-0.24308373636511726,24,IS
2025-07-01,GSPC,-3.8195800781259095,22.33263298339844,-26.15221306152435,18,IS
2025-07-01,MSFT,-2.6556461879185917,3.054537955365862,-5.710184143284453,31,IS
2025-07-01,NVDA,0.2210077558244734,0.6779355675288609,-0.45692781170438723,22,IS
2025-07-01,OPTT,0.004245526024273527,0.0019168546046529494,0.0023286714196205753,20,IS
2025-07-01,QQQ,-2.071217128208559,2.7381515308925084,-4.809368659101069,25,IS
2025-07-01,RUT,19.691999162945194,27.288215769740518,-7.596216606795322,62,IS
2025-07-01,TSLA,0.2554571969167796,0.9648785588945662,-0.7094213619777859,16,IS
2025-07-01,UNH,5.9591380528040645,2.7805902680533277,3.1785477847507373,43,IS
2025-04-02,AAPL,-1.3194972446986242,0.7162188986642021,-2.035716143362826,16,IS
2025-04-02,AMD,-0.10226549421039977,0.5153103238786971,-0.6175758180890967,25,IS
2025-04-02,AMGN,-2.5169176374160998,2.074521554129464,-4.591439191545565,34,IS
2025-04-02,AMZN,-3.9947956630162196,0.9409172416687013,-4.9357129046849195,24,IS
2025-04-02,DJI,136.08454241073196,404.4556559430804,-268.3711135323484,48,IS
2025-04-02,FTSE,-34.71226283482429,97.72998400530135,-132.44224684012565,57,IS
2025-04-02,GME,0.12894589560373504,0.18037428043910442,-0.05142838483536924,40,IS
2025-04-02,GOOG,-2.336425781250057,0.9531024572099959,-3.2895282384600537,30,IS
2025-04-02,GSPC,6.933297293526266,50.91883644496373,-43.985539151437465,45,IS
2025-04-02,MSFT,-0.41706412179149766,2.218477496773856,-2.635541618565354,29,IS
2025-04-02,NVDA,-1.052361624581465,0.39644095600673135,-1.4488025805881963,18,IS
2025-04-02,OPTT,0.00029639473983222864,0.0033081012180873324,-0.0030117064782551038,40,IS
2025-04-02,QQQ,-1.8776256016321327,1.423651479775565,-3.3012770814076973,15,IS
2025-04-02,RUT,19.25091116768931,28.061808538382394,-8.810897370693091,69,IS
2025-04-02,TSLA,0.0,0.0,0.0,0,IS
2025-04-02,UNH,-1.9962746756416436,3.345574758257184,-5.341849433898828,32,IS
